caseNumber,caseLabel,discharge_Q_m3ps,lambdaEst_m,h_pairedMedian_m,h_Q25_m,h_Q75_m,hEst_pairedMedian_m,hEst_Q25_m,hEst_Q75_m,kh,hEst_over_h,impliedVelocityBias,plotted,predicted_eps08,predicted_eps12,predicted_eps16
1,R1,123,4.39854715634169,2.39902661820815,2.02635330929297,2.59239816280751,0.787792262835361,0.585963633007306,1.07652731365333,3.42693354493782,0.328379959128494,0.0993739175660806,1,0.360981972099629,0.299731784009798,0.255449856975759
2,R2,117,4.82347636452844,2.22859227996469,1.98806661373055,2.55184894275953,1.21008750673211,0.871488927955195,1.79846711206432,2.90302205524271,0.542982903427846,0.0389783405320797,1,0.422207620839463,0.351262130010044,0.299682187538562
3,R3,109,3.81443527884881,2.13736137822888,1.89966449379062,2.36552369624678,0.559059208315854,0.453613403801891,0.839091384774316,3.52068828701526,0.261565130731012,0.14701119687576,1,0.351671530268259,0.29194680952053,0.248790531392276
4,R4,96,3.19136090530974,1.77162891639591,1.66157529065913,2.0288951122343,0.503132432458803,0.294545908991831,0.629013624587772,3.48800186113482,0.283994253989907,0.128780795259681,1,0.354867029346737,0.294617579567761,0.251074603693786
5,R5,90,4.2583046180379,2.20645801170031,2.11688053917533,2.32018058631274,0.595059216299178,0.548866827979023,0.657871350235452,3.25565824983465,0.269689798375371,0.158854773331308,1,0.379194201609713,0.314992987902734,0.268519299109065
6,R6,81,3.11268495760921,2.06214020341758,1.59219291856334,2.1141442807807,0.574809228688455,0.418854546161597,0.728751864087416,4.1625828517543,0.27874400961478,0.0936148204060648,1,0.298342711837514,0.247512268877829,0.210851258390724
7,R7,70,3.10021470770948,1.98507583058245,1.81256818461497,2.09604969425527,0.57744043552295,0.480914854400339,0.784029769331066,4.02314048163717,0.290890870074984,0.0917627470150253,1,0.308568037930002,0.256016267429408,0.218105017653806
8,R8,61,3.0321525818623,1.88356153065524,1.52136281502407,2.00524209887999,0.376053226743019,0.3153824581982,0.468795763904652,3.90309056522247,0.199650088740239,0.192034143552409,1,0.317926528348136,0.263804816157917,0.224750965706753
9,R9,51,2.00524215609662,1.75589118908556,1.4334451850832,1.86102611794922,0.317105825964056,0.196895769503231,0.402597720148912,5.50187401891869,0.180595373981687,0.128837581900528,1,0.225963247610368,0.187420262840206,0.159640089796968
10,R10,40,1.73008706091702,1.61565848714417,1.49354402874155,1.69805147948796,0.189160672403238,0.139343855203499,0.22017280401023,5.86761319540967,0.117079614230602,0.227959470355836,1,0.21188732076918,0.17574370303841,0.149693562341213
11,R11,30,1.1674492518014,1.49215741588432,1.38261603269643,1.5942765281402,0.140219091302242,0.120441757717844,0.150678642145296,8.03075725734272,0.0939707096647989,0.201301961769889,1,0.15481977058085,0.128409638843877,0.109375255409647
12,R12,20,NaN,1.32623880951905,1.31703186058439,1.4509315875855,0.0752764409655663,0.0617136720124561,0.0783546946128504,NaN,0.0567593410969965,NaN,0,NaN,NaN,NaN
13,R13,15,NaN,1.24946395646111,1.18122508519423,1.34842424345175,0.0593283141816163,0.0561559688211825,0.0602382759162749,NaN,0.0474830137154604,NaN,0,NaN,NaN,NaN
