caseNumber,caseLabel,profileIndex,velocityProfile,observedDepth_m,wavelength_m,initialPlanarVelocity_mps,nAdmissibleRoots,shallowOrSoleRoot_m,selectedDeepOrSoleRoot_m,allRoots_m
1,R1,16,linear,2.6321469490149,NaN,2.86685969231555,0,NaN,NaN,
1,R1,17,linear,2.61931972470575,NaN,2.8479554531889,0,NaN,NaN,
1,R1,18,linear,2.54961375484527,NaN,2.71452995379858,0,NaN,NaN,
1,R1,19,linear,2.47990778478106,NaN,2.61851330015456,0,NaN,NaN,
1,R1,20,linear,2.4102018147023,NaN,2.5867158929143,0,NaN,NaN,
1,R1,21,linear,2.28389332293227,NaN,2.4262279676519,0,NaN,NaN,
1,R1,1,power,1.80580383756933,NaN,0.106906376914692,0,NaN,NaN,
1,R1,2,power,1.92135442365543,3.73250794760593,1.31218208769393,0,NaN,NaN,
1,R1,3,power,2.07335461259936,4.03727116703195,2.01580592191021,0,NaN,NaN,
1,R1,4,power,2.05451979728059,4.60000000000007,2.15476169173873,0,NaN,NaN,
1,R1,5,power,1.99818682130535,4.31115473057226,2.18618321454317,0,NaN,NaN,
1,R1,6,power,1.94185384550838,4.14469055313476,2.31785483059577,0,NaN,NaN,
1,R1,7,power,2.32736606938488,4.50014719513234,2.27540485580693,0,NaN,NaN,
1,R1,8,power,2.49482590119987,4.39854715634169,2.36028681512463,0,NaN,NaN,
1,R1,9,power,2.47068716703143,4.36221864137907,2.48583793743858,0,NaN,NaN,
1,R1,10,power,2.51937214596364,4.23774109398128,2.64281055353918,2,0.80772570119598,2.58507881442625,0.80772570119598;2.58507881442625
1,R1,11,power,2.56805612507469,4.46514361538265,2.58040948349916,0,NaN,NaN,
1,R1,12,power,2.61674020054033,4.71475413952096,2.54538585336772,0,NaN,NaN,
1,R1,13,power,2.65352198008259,NaN,2.66567825455501,0,NaN,NaN,
1,R1,14,power,2.6481049824024,4.51251007518856,2.65040300146573,0,NaN,NaN,
1,R1,15,power,2.64268898458067,5.31791619675441,2.67631140732734,0,NaN,NaN,
1,R1,16,power,2.6321469490149,NaN,2.86685969231555,0,NaN,NaN,
1,R1,17,power,2.61931972470575,NaN,2.8479554531889,0,NaN,NaN,
1,R1,18,power,2.54961375484527,NaN,2.71452995379858,0,NaN,NaN,
1,R1,19,power,2.47990778478106,NaN,2.61851330015456,0,NaN,NaN,
1,R1,20,power,2.4102018147023,NaN,2.5867158929143,0,NaN,NaN,
1,R1,21,power,2.28389332293227,NaN,2.4262279676519,0,NaN,NaN,
2,R2,1,uniform,1.73906589100716,NaN,1.36302514477365,0,NaN,NaN,
2,R2,2,uniform,1.84474388653234,NaN,1.61866121160539,0,NaN,NaN,
2,R2,3,uniform,1.99674382123703,4.70000000000007,2.00364383499143,1,0.459438893739061,0.459438893739061,0.459438893739061
2,R2,4,uniform,1.98806661373055,4.35405393585043,2.20569495119565,1,0.622752440642117,0.622752440642117,0.622752440642117
2,R2,5,uniform,1.93173307542384,4.3933443516478,2.41076305879864,1,0.871488927955199,0.871488927955199,0.871488927955199
2,R2,6,uniform,1.87540009962686,4.12718990946617,2.43815554600267,1,1.05465705891365,1.05465705891365,1.05465705891365
2,R2,7,uniform,2.23464159986179,4.33954807981736,2.58876940750003,1,1.79846711206418,1.79846711206418,1.79846711206418
2,R2,8,uniform,2.42687544791443,4.76671622537419,2.53166524323586,1,0.984662299884282,0.984662299884282,0.984662299884282
2,R2,9,uniform,2.40125043674834,4.82347636452844,2.80457210906826,0,NaN,NaN,
