caseNumber,caseLabel,filenameLookup,sweepValue_Q,checkpointFileName,selectorFileUsed,selectedMapIndex,selectedMapRow,stopMethod,selectionReason,fallbackSelection,profileIndex,rowCoord,rowCell,transectN_m,nearestRowIndex,crossSectionX_m,crossSectionY_m,crossSectionBedElevation_m,crossSectionInitialMedianWSE_m,crossSectionDepth_m,crossSectionDepthStatus,nIntersectedCells,nFiniteVelocityCells,amplitude98_2_m,amplitudeRetainedForSummary,amplitudeRetentionStatus,autocorrWavelength_m,autocorrPeakR,pmusicWavelength_m,pmusicPeakFrequency_cpm,pmusicPeakPower,pmusicStatus,pmusicRetainedForSummary,pmusicRetentionStatus,velocityFromProfilePmusic_mps,summaryAmplitudeMedian_m,summaryAmplitudeQ25_m,summaryAmplitudeQ75_m,summaryNAmplitudeProfiles,summaryPmusicWavelengthMedian_m,summaryPmusicWavelengthQ25_m,summaryPmusicWavelengthQ75_m,summaryNPmusicProfiles,summaryUsDeepWater_mps,summaryValidationStatus
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,1,166,166,-27.1,166,4977.98686953453,5013.17013128814,4998.13017087982,4999.413,1.2828291201813,ok,153,6,NaN,0,not retained: non-finite value,NaN,NaN,NaN,NaN,NaN,not evaluated,0,not retained: non-finite value,NaN,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,2,171,171,-26.6,171,4978.20670769236,5012.72105313864,4998.01151352322,4999.413,1.40148647677688,ok,153,40,0.0368790417878699,1,retained for summary,0.490779348508113,0.372320421163273,2.38139534883724,0.419921874999994,0.182034418956663,ok,1,retained for summary,1.92823659139704,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,3,176,176,-26.1,176,4978.4265458502,5012.27197498914,4997.85951352934,4999.413,1.55348647066057,ok,153,63,0.0569872597538324,1,retained for summary,4.62058458446658,0.810779722644651,2.52839506172843,0.395507812499994,0.0722611761880908,ok,1,retained for summary,1.98685894640791,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,4,181,181,-25.6,181,4978.64638400804,5011.82289683964,4997.88154391067,4999.413,1.53145608932755,ok,153,55,0.0683459322453928,1,retained for summary,3.0867655273103,0.788470556494599,2.84444444444448,0.351562499999995,0.232507127357413,ok,1,retained for summary,2.10738215139929,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,5,186,186,-25.1,186,4978.86622216587,5011.37381869014,4997.93787765371,4999.413,1.47512234629266,ok,153,67,0.0710541569428642,1,retained for summary,3.08303279559798,0.829677577801116,3.0117647058824,0.332031249999995,0.340562030148415,ok,1,retained for summary,2.16847834391733,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,6,191,191,-24.6,191,4979.0860603237,5010.92474054063,4997.9942106295,4999.413,1.41878937049569,ok,153,70,0.0728926996977498,1,retained for summary,3.05784061974365,0.92008071339107,3.10303030303035,0.322265624999995,0.498865053040628,ok,1,retained for summary,2.20108887071079,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,7,196,196,-24.1,196,4979.30589848154,5010.47566239113,4997.60043181538,4999.413,1.81256818461497,ok,153,67,0.0765958348949062,1,retained for summary,3.11366388810866,0.862086773705871,3.15076923076928,0.317382812499996,0.321805024937205,ok,1,retained for summary,2.2179556987551,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,8,201,201,-23.6,201,4979.52573663937,5010.02658424163,4997.44076683279,4999.413,1.97223316721011,ok,153,58,0.0730667335771614,1,retained for summary,3.13204307018311,0.834085838959591,3.2507936507937,0.307617187499996,0.316138248098605,ok,1,retained for summary,2.25288628386821,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,9,206,206,-23.1,206,4979.74557479721,5009.57750609213,4997.46376571792,4999.413,1.94923428208222,ok,153,56,0.0672868816568371,1,retained for summary,3.03153739767188,0.730354665148025,3.0117647058824,0.332031249999995,0.252133579301027,ok,1,retained for summary,2.16847834391733,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,10,211,211,-22.6,211,4979.96541295504,5009.12842794263,4997.41508150604,4999.413,1.99791849395478,ok,153,51,0.0656374657682864,1,retained for summary,2.99161334962942,0.827434545218782,3.0117647058824,0.332031249999995,0.220940948721908,ok,1,retained for summary,2.16847834391733,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,11,216,216,-22.1,216,4980.18525111288,5008.67934979313,4997.3663974645,4999.413,2.0466025354981,ok,153,44,0.0665763266591966,1,retained for summary,3.13551167074559,0.928567096928186,3.10303030303035,0.322265624999995,0.564134970671447,ok,1,retained for summary,2.20108887071079,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,12,221,221,-21.6,221,4980.40508927071,5008.23027164362,4997.31771269576,4999.413,2.0952873042379,ok,153,45,0.0623277100451469,1,retained for summary,3.11577271061707,0.862141902105378,3.05671641791049,0.327148437499995,0.309772120122104,ok,1,retained for summary,2.18460108147308,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,13,226,226,-21.1,226,4980.62492742855,5007.78119349412,4997.28176086098,4999.413,2.13123913901563,ok,153,35,0.0593271580891632,1,retained for summary,3.32852221763777,0.689510449599636,3.30322580645166,0.302734374999996,0.114153125253234,ok,1,retained for summary,2.27098204672743,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,14,231,231,-20.6,231,4980.84476558638,5007.33211534462,4997.28717785867,4999.413,2.12582214133454,ok,153,48,0.0587465577375406,1,retained for summary,3.37443056013188,0.531604927743199,3.53103448275867,0.283203124999996,0.0806751951127353,ok,1,retained for summary,2.34798624763425,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,15,236,236,-20.1,236,4981.06460374422,5006.88303719512,4997.29259462353,4999.413,2.1204053764659,ok,153,45,0.0525918726922373,1,retained for summary,3.15062160006469,0.54324082415135,3.35737704918038,0.297851562499996,0.0306251668293747,ok,1,retained for summary,2.28952098328347,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,16,241,241,-19.6,241,4981.28444190205,5006.43395904562,4997.30323177292,4999.413,2.10976822708199,ok,153,49,0.0570113087627578,1,retained for summary,2.94857268558709,0.691503279259935,2.88450704225356,0.346679687499995,0.0570079349044631,ok,1,retained for summary,2.12217097951375,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,17,246,246,-19.1,246,4981.50428005989,5005.98488089612,4997.31695030574,4999.413,2.09604969425527,ok,153,41,0.0585698895024598,1,retained for summary,2.83617644511274,0.742244423747877,2.84444444444448,0.351562499999995,0.0786623103257739,ok,1,retained for summary,2.10738215139929,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
7,R7,devon_dart20181201_11210,70,devon_dart20181201_11210_checkpoint.mat,D:\OneDrive - Newcastle University\Documents - WSE Project\General\Analysis\Synthetic analysis\KLT_select_wave_checkpoint_refined.m,30,30,strong_signal_residual_collapse_plus_amplitude_plateau,"first strong-quality map satisfying amplitude plateau (map 30, row 30)",0,18,251,251,-18.6,251,4981.72411821772,5005.53580274661,4997.38665550856,4999.413,2.0263444914408,ok,153,28,0.0559822126370546,1,retained for summary,2.83828976042338,0.752939487924921,2.88450704225356,0.346679687499995,0.0928824594794143,ok,1,retained for summary,2.12217097951375,0.0590368579133519,0.0564795041320804,0.0678164069511149,20,3.0117647058824,2.88450704225356,3.15076923076928,20,2.16847834391733,matches selector result
